brand_name,brand_url,intro_bg,brand_story_bg
NL Beauty,https://nlbeauty.bg,"NL Beauty създава течни матови червила, сенки в стик и продукти за тялo, разработени около бързо нанасяне и ясно видим завършек - от наситен цвят до деликатен блясък. ","NL Beauty развива козметика около бързото и интуитивно нанасяне — течни червила и моливи, сенки в стик, спирала и грижа за устните и миглите. Цветовите серии идват в множество нюанси, а компактните формати са замислени за видим резултат без сложен ритуал."
"Затвори очи, Бо",https://zatvoriochibo.com,,"„Затвори очи, Бо“ започва като приказка за благодарността, приятелството и радостта в малките неща. Историята на Бо и Слънчевко продължава в дневник с 30 авторски писма и въпроси, вдъхновен от истински ритуал между баба и внуче и създаден като повод за вечерни семейни разговори."
Boriana Sport,https://borianasport.com/,"Boriana Sport създава дамско и мъжко облекло, като за този модел е посочено собствено производство.","Boriana Sport е насочена към спортни екипи и всекидневно облекло за жени и мъже. Марката развива собствени модели и посочва собствено производство, като комбинира горнища и долнища в завършени спортни визии."
COMERSE,https://comerse-bg.com/,"COMERSE създава спортни облекла за мъже и жени, произведени в България.","COMERSE създава спортно облекло за жени и мъже, произведено в България. Колекциите са изградени около съчетаващи се екипи, анцузи и ежедневни модели, които могат да се носят както за движение, така и извън тренировката."
Vitality Activewear,https://vitalityaw.com/,"Vitality Activewear е български дизайнерски бранд за спортно облекло с производство в България. Колекциите са лимитирани и включват дизайнерски принтове, ръчно рисувани от основателя.","Vitality Activewear превръща ръчно рисуваните принтове на своя основател в лимитирани серии спортно облекло. Моделите се проектират и произвеждат в България, а авторската графика дава на всеки комплект разпознаваем характер отвъд стандартната функционална екипировка."
Zerofit,https://zerofit.store/,Zerofit създава activewear и бански модели.,
Morado,https://morado.bg/,Morado създава дамско и мъжко облекло с акцент върху отличими ежедневни модели.,"Morado създава дамско и мъжко streetwear облекло в Сандански и обозначава продуктите си като произведени в България. Овърсайз тениски, спортни комплекти и модели с декоративни шевове и графични щампи изграждат директния, градски почерк на марката, включително в съвместната линия с Е. Каменов."
Studio Nikolas,https://studionikolas.com/,"Nikol@s Jewellery Collection създава ръчно изработени бижута от благородни метали, като продуктите преминават проверка в държавна лаборатория и се предлагат със сертификат за автентичност.","Studio Nikolas е производител на бижута от злато и сребро, който развива както дамски и мъжки модели, така и колекции с православни, кабалистични и викингски символи. Персонализираните медальони, плочки и колиета с имена поставят гравирането и личното значение редом до работата с благородни метали."
Sito Studio,https://www.sito-studio.com/,"Sito Studio е споделено пространство за изкуство, вдъхновение и ръчен печат, което предлага принтове, курсове и творчески събития.","Sito Studio е споделено пространство, изградено около ситопечата и ръчния печат. Студиото съчетава авторски принтове с курсове и творчески събития, така че графичната техника да бъде едновременно начин за създаване на изкуство и повод хората да работят заедно."
Gabi Jewellery,https://www.gabi-jewellery.com/,Gabi Jewellery създава ръчно изработени бижута от естествена кожа и метал в ателието си в Трявна.,"Gabi Jewellery е семейна история, развита в ателие в Трявна. Там ръчно се създават дамски и мъжки бижута от естествена кожа и метал, а колекциите разширяват този материален език с минерали, полускъпоценни камъни, перли, керамика и стомана."
Katano,https://www.katano.studio/,,"Медта е отправната точка за почти всяко бижу на Katano. Ателието я съчетава със сребро, перли, естествени камъни и кристали в ръчно изработени модели, които могат да се видят и пробват в творчески галерии и базари в София и Пловдив."
AFFECT,https://affectbg.com/,"AFFECT създава дамско, мъжко и детско облекло за дома, сред което пижами, нощници, бельо и домашни комплекти.","AFFECT е специализирана в облеклото за времето у дома — пижами, нощници, халати и домашни комплекти за жени, мъже и деца. Различните линии преминават от памучни ежедневни модели до сатенени и сезонни серии, без да напускат фокуса върху домашния гардероб."
Belong,https://belong.bg/,,"Belong разглежда дома като пространство за малки лични ритуали и свързва пижами и домашно облекло със свещи, текстилни аксесоари и подаръчни кутии. При ароматните свещи марката използва соев восък и специални парфюмни композиции, като всяка от тях е изградена около конкретно усещане и история."
ReSleep,https://resleep.bg/,"ReSleep създава пижами, бански и облекло за жени, мъже, деца и домашни любимци, включително съчетаващи се семейни модели.","ReSleep превръща домашното облекло в общ семеен език. Пижами, бански и ежедневни модели се създават за жени, мъже, деца и дори домашни любимци, а съчетаващите се серии позволяват една идея да премине през всички членове на семейството."
Iva Tex,https://ivatex.eu/,"Iva Tex създава пижами, домашно облекло, бански, анцузи и детски облекла. Българската марка е основана през 1997 г. и е специализирана в текстилното производство.","Iva Tex има 30 години опит в текстилното производство и изработва продуктите си в България. Марката е специализирана в пижами и домашно облекло от памук, модал и меки сезонни материи, с отделни линии за жени, мъже и деца."
NADNAP,https://nadnap.com/,,"NADNAP поставя спалнята в центъра на своята работа с домашния текстил. Марката развива спално бельо и свързани изделия за дома, като чрез материи, цветове и десени изгражда цялостна среда за сън, а не единичен декоративен продукт."
La Pivoine,https://lphandmade.com/,"La Pivoine създава ръчно изработени подаръци и аксесоари за сватба и бебе, както и албуми, картички и изделия за специални поводи.","La Pivoine работи с хартия, текстил и ръчна декорация, за да съхранява историите около сватба, кръщене или появата на бебе. Дизайнерските албуми се допълват от бебешки кутии, подаръчни кутии и декорации за дома, създадени специално за конкретен повод."
Art Tochka,https://www.art-tochka.com/,"Art Tochka създава гравирани албуми, луксозни тефтери и подаръчни изделия за дома и специални поводи.","Art Tochka превръща гравирането и ръчната работа с хартия в подаръци за лични поводи. Албуми, тефтери и изделия за дома се персонализират с имена, послания и декоративни елементи, така че самият спомен да стане част от дизайна."
Crafts of Space,https://craftsofspace.com/,"Crafts of Space създава ръчно изработени персонализирани изделия и албуми за снимки, предназначени за подарък и съхраняване на специални спомени.",
Soleil Design,https://sd-giftshop.com/,"Soleil Design създава ръчно изработени подаръци, фотоалбуми и бебешки артикули.","Soleil Design създава ръчно изработени подаръци, в които снимките и личните послания заемат централно място. Фотоалбуми, бебешки изделия и декорирани кутии оформят колекции за семейни събития и спомени, предназначени да останат във времето."
Цвета Тодорова,https://cvetatodorova.com/,"Цвета Тодорова създава книги, тефтери, планери и ръчно изработени албуми, съчетаващи текст, хартия и авторски детайли.","Цвета Тодорова свързва писането и ръчната работа с хартия в книги, тефтери, планери и авторски албуми. Проектите ѝ са замислени като място за лични думи и спомени, а текстът и визуалните детайли работят като части от един и същ разказ."
2 Лета,https://2leta.com/,"2 Лета създава плодови ликьори с характерни вкусове, приготвяни от плодове и представени както за самостоятелно сервиране, така и в коктейли.","„2 Лета“ създава плодови ликьори, в които вкусът на плода остава водещ. Напитките могат да се сервират самостоятелно или да влязат в коктейли, а различните плодови комбинации дават на всяка бутилка собствен сезонен характер."
